issue summary,description,wcag criteria
"iOS App Home - Category cards skipped in VoiceOver swipe order","Steps to recreate: 1) Enable VoiceOver. 2) Swipe right through the Home screen. Actual: Focus order jumps from the header directly to the footer, skipping the ""Shop by Category"" cards entirely. Expected: All interactive category cards should be reachable in a logical swipe order.","WCAG 2.2 - 2.4.3 Focus Order (A)"
"iOS App Search - Search field not announced as a search field","Steps to recreate: 1) Enable VoiceOver. 2) Navigate to the search input. Actual: Field is announced generically as ""text field"" rather than indicating its search purpose. Expected: Field should use the search field trait so VoiceOver announces ""Search field"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App Search - Recent searches list items unlabeled","Steps to recreate: 1) Perform searches, then reopen the search screen. 2) Swipe through ""Recent Searches"". Actual: Each row announces as ""button"" with no search term text. Expected: Row should announce the search term, e.g., ""hiking boots, recent search"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App PDP - Image carousel gives no VoiceOver swipe instructions or position","Steps to recreate: 1) Enable VoiceOver. 2) Focus the product image carousel. Actual: No hint indicates that swiping changes images, and focus does not announce position (e.g., ""1 of 5""). Expected: Carousel should announce position and provide adjustable swipe hints.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App PDP - Size selector buttons do not announce selected state","Steps to recreate: 1) Enable VoiceOver. 2) Select a shoe size. Actual: VoiceOver does not announce that the size button is now selected. Expected: Selected state should be conveyed, e.g., ""Size 9, selected"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App PDP - Dynamic Type not supported on product description","Steps to recreate: 1) Increase text size in iOS Settings > Accessibility > Display & Text Size to the largest setting. 2) Open a product page. Actual: Product description text does not scale and remains a fixed small size, becoming difficult to read. Expected: Text should respect the user's Dynamic Type preference.","WCAG 2.2 - 1.4.4 Resize Text (AA)"
"iOS App PDP - Add to Cart button has insufficient touch target size","Steps to recreate: 1) Open a product page. 2) Attempt to tap the ""Add to Cart"" button. Actual: Button hit area measures approximately 30x30pt. Expected: Interactive targets should be at least 24x24 CSS pixels (WCAG minimum; 44x44pt recommended by iOS HIG).","WCAG 2.2 - 2.5.8 Target Size (Minimum) (AA)"
"iOS App PDP - Color swatches identified by color only","Steps to recreate: 1) Open a shoe product with multiple color options. 2) Enable VoiceOver and swipe to the color swatches. Actual: Swatches announce only ""button"" with no color name. Expected: Each swatch should announce the color name, e.g., ""Forest Green, button"".","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"iOS App Cart - Swipe-to-delete gesture has no alternative","Steps to recreate: 1) Open Cart. 2) Attempt to remove an item using VoiceOver. Actual: Only a swipe gesture on the row reveals a delete button; no standalone, always-visible remove control exists as an alternative. Expected: A standalone ""Remove item"" button/action should be available.","WCAG 2.2 - 2.5.1 Pointer Gestures (A)"
"iOS App Cart - Cart badge count update not announced","Steps to recreate: 1) Add an item to the cart from the PDP. 2) Return to the tab bar. Actual: Cart tab badge updates visually (e.g., ""1"") but VoiceOver does not announce the change. Expected: Update should be announced via an accessibility notification.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
"iOS App Checkout - Form field errors not announced","Steps to recreate: 1) Submit the checkout form with a missing required field. Actual: Error text appears below the field visually, but VoiceOver focus does not move to it and it is not announced. Expected: Error should be announced immediately and focus should move to the first invalid field.","WCAG 2.2 - 3.3.1 Error Identification (A)"
"iOS App Checkout - Face ID authentication overlay has no accessible status","Steps to recreate: 1) Reach payment confirmation. 2) Trigger the Face ID prompt. Actual: Custom overlay shown during the Face ID scan has no VoiceOver label describing what is happening. Expected: Overlay should announce ""Authenticating with Face ID"" or similar status.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
"iOS App Checkout - Order summary values missing labels for VoiceOver","Steps to recreate: 1) Enable VoiceOver. 2) Swipe through the order summary (subtotal, shipping, tax, total). Actual: Each value is a separate element read as just a number, e.g., ""$12.99"", with no context. Expected: Each value should include its label, e.g., ""Shipping, $12.99"".","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"iOS App Account - Password field does not announce as secure or labeled","Steps to recreate: 1) Enable VoiceOver. 2) Focus the password field on the login screen. Actual: Field announces as ""text field"" without indicating it is a secure entry, and has no visible label. Expected: Field should announce ""Password, secure text field"".","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"iOS App Account - Settings toggle switches don't confirm state change","Steps to recreate: 1) Enable VoiceOver. 2) Toggle the ""Order Update Notifications"" switch. Actual: Switch activates but VoiceOver does not reliably confirm the new on/off state. Expected: State change should be reliably announced.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App Account - Profile photo upload button unlabeled","Steps to recreate: 1) Enable VoiceOver. 2) Navigate to the profile photo edit button. Actual: Announces only ""button"". Expected: Should announce ""Change profile photo, button"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App Navigation - Filter modal does not move VoiceOver focus on open","Steps to recreate: 1) Open the product filters modal. Actual: VoiceOver focus remains on the underlying page; the modal's presence and content are not announced. Expected: Focus should move to the modal heading when it opens.","WCAG 2.2 - 2.4.3 Focus Order (A)"
"iOS App Navigation - Back button announces generically with no destination","Steps to recreate: 1) Enable VoiceOver. 2) Navigate into a subcategory, then focus the back button. Actual: Back button announces simply as ""button"" rather than indicating destination or action. Expected: Should announce ""Back to Shoes, button"" or similar.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App Notifications - Notification permission pre-screen has poor contrast","Steps to recreate: 1) Trigger the custom ""enable notifications"" pre-permission screen. 2) Inspect the button colors. Actual: ""Allow"" button text is light gray (#AAAAAA) on white, contrast ratio approximately 2.3:1. Expected: Should meet 4.5:1 minimum contrast for text.","WCAG 2.2 - 1.4.3 Contrast (Minimum) (AA)"
"iOS App Settings - Large text sizes truncate tab bar labels","Steps to recreate: 1) Set the largest Dynamic Type size. 2) View the bottom tab bar. Actual: Labels like ""Account"" are visually truncated to ""Acc..."" with no way to access the full text. Expected: Layout should adapt, e.g., stacking or scrolling, to preserve full readable labels.","WCAG 2.2 - 1.4.4 Resize Text (AA)"
"iOS App Settings - Reduce Motion preference not respected in transitions","Steps to recreate: 1) Enable ""Reduce Motion"" in iOS Accessibility settings. 2) Navigate between screens in the app. Actual: App continues to use large parallax/zoom animations regardless of the setting. Expected: App should honor Reduce Motion and use simpler cross-fade transitions.","WCAG 2.2 - 2.3.3 Animation from Interactions (AAA)"
"iOS App Global - Loading spinner has no accessible status","Steps to recreate: 1) Trigger any content load (e.g., search results). 2) Enable VoiceOver during loading. Actual: Spinner is visually shown but VoiceOver gives no indication content is loading. Expected: A ""Loading"" status should be announced via an accessibility notification.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
"iOS App Global - Star rating icons unlabeled on review cards","Steps to recreate: 1) Enable VoiceOver. 2) Navigate to a product review card. Actual: Five star icons are announced individually as ""image, image..."" with no rating summary. Expected: Rating should be summarized as one accessible element, e.g., ""4 out of 5 stars"".","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"iOS App Global - Price range slider not operable via VoiceOver","Steps to recreate: 1) Open the price filter. 2) Enable VoiceOver and attempt to adjust the slider using the adjustable swipe up/down gesture. Actual: Slider does not respond to VoiceOver's increment/decrement gestures. Expected: Slider should implement the adjustable trait and respond to swipe up/down to change value.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App Global - Bold Text system setting not supported","Steps to recreate: 1) Enable ""Bold Text"" in iOS Accessibility settings. 2) Restart the app and browse. Actual: Text throughout the app remains regular weight, not respecting the system-wide setting. Expected: App should render text with bold weight when the system setting is enabled.","WCAG 2.2 - 1.4.8 Visual Presentation (AAA)"
"iOS App Global - Alert dialogs missing accessible dialog role","Steps to recreate: 1) Trigger the ""Are you sure you want to sign out?"" alert. 2) Enable VoiceOver. Actual: Alert content is read but not identified as a dialog, so users are not aware focus is contained within it. Expected: Alert should be presented with proper dialog semantics.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"iOS App Global - Landscape orientation not supported","Steps to recreate: 1) Rotate the device to landscape while browsing the app. Actual: App forces portrait orientation, restricting users who need landscape for mounted device or switch access setups. Expected: Content should be operable in both orientations unless a specific orientation is essential.","WCAG 2.2 - 1.3.4 Orientation (AA)"
"iOS App Global - Wishlist heart toggle doesn't announce state","Steps to recreate: 1) Enable VoiceOver. 2) Tap the heart icon on a product card to add it to the wishlist. Actual: Button re-renders visually (filled heart) but VoiceOver still announces ""button"" without indicating it is now selected. Expected: Button should announce updated state, e.g., ""Remove from wishlist, button, selected"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App Home - Hero banner image not labeled for TalkBack","Steps to recreate: 1) Enable TalkBack. 2) Swipe to the hero banner on the Home screen. Actual: TalkBack announces ""unlabeled image"". Expected: Image should include a contentDescription describing the promotion.","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"Android App Home - Bottom navigation tabs missing selected state","Steps to recreate: 1) Enable TalkBack. 2) Swipe to the bottom navigation tabs. Actual: TalkBack does not indicate which tab is currently selected. Expected: Selected tab should announce ""selected"", e.g., ""Home, tab, selected"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App Home - Category grid items in illogical TalkBack reading order","Steps to recreate: 1) Enable TalkBack. 2) Swipe through the ""Shop by Category"" grid. Actual: Reading order jumps diagonally across the grid rather than row by row, confusing navigation. Expected: Reading order should follow a logical left-to-right, top-to-bottom sequence.","WCAG 2.2 - 2.4.3 Focus Order (A)"
"Android App Search - Voice search microphone button unlabeled","Steps to recreate: 1) Enable TalkBack. 2) Swipe to the microphone icon in the search bar. Actual: Announces as ""button"" only. Expected: Should announce ""Voice search, button"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App Search - Filter chips do not announce selected state","Steps to recreate: 1) Enable TalkBack. 2) Select a ""Brand: Acme"" filter chip. Actual: TalkBack does not confirm the chip is now active/selected. Expected: Chip should announce state changes, e.g., ""Brand: Acme, selected"".","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App PDP - Image gallery lacks position announcement","Steps to recreate: 1) Enable TalkBack. 2) Swipe through the product images. Actual: TalkBack does not announce image position (e.g., ""2 of 6""). Expected: Position should be included so users understand how many images remain.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App PDP - Size selector buttons too small for touch","Steps to recreate: 1) Open a shoe product page. 2) Measure the size selector button hit area. Actual: Buttons measure approximately 32x32dp with tight spacing. Expected: Touch targets should be at least 24x24 CSS pixels minimum (48x48dp recommended by Material Design).","WCAG 2.2 - 2.5.8 Target Size (Minimum) (AA)"
"Android App PDP - Font scaling ignored when system font size increased","Steps to recreate: 1) Increase font size in Android Settings > Display > Font size to maximum. 2) Open a product description. Actual: Text remains a fixed size and does not scale with the system setting. Expected: Text should scale with the user's font size preference.","WCAG 2.2 - 1.4.4 Resize Text (AA)"
"Android App PDP - Color options identified by swatch only, no text name","Steps to recreate: 1) Enable TalkBack. 2) Swipe to the color swatches on a product. Actual: Swatches announce as ""button"" with no color name given. Expected: Should announce the color name, e.g., ""Charcoal Gray, button"".","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"Android App PDP - Add to Cart Snackbar dismisses before TalkBack finishes","Steps to recreate: 1) Tap ""Add to Cart"". 2) Observe the Snackbar confirmation duration while using TalkBack. Actual: Snackbar disappears after 2 seconds, before TalkBack finishes announcing the message. Expected: Timed content should allow sufficient time or remain accessible/dismissible for assistive technology users.","WCAG 2.2 - 2.2.1 Timing Adjustable (A)"
"Android App Cart - Quantity stepper buttons lack accessible labels","Steps to recreate: 1) Enable TalkBack. 2) Swipe to the +/- quantity buttons in the cart. Actual: Both buttons announce simply as ""button"". Expected: Should announce ""Increase quantity"" and ""Decrease quantity"" respectively.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App Cart - Swipe-to-remove gesture has no accessible alternative","Steps to recreate: 1) Enable TalkBack. 2) Attempt to remove a cart item. Actual: Only a swipe gesture on the row triggers removal; no standalone remove action is exposed. Expected: A discoverable remove action should exist independent of the swipe gesture.","WCAG 2.2 - 2.5.1 Pointer Gestures (A)"
"Android App Cart - Empty cart illustration missing content description","Steps to recreate: 1) Empty the cart. 2) Enable TalkBack and swipe to the illustration. Actual: Announces ""unlabeled image"". Expected: Purely decorative images should be marked so TalkBack skips them, or given a meaningful description if informative.","WCAG 2.2 - 1.1.1 Non-text Content (A)"
"Android App Checkout - Required field indicators not announced","Steps to recreate: 1) Enable TalkBack. 2) Navigate to the required ""Phone Number"" field. Actual: A visual asterisk indicates the field is required, but TalkBack does not announce this. Expected: Field should announce as ""required"".","WCAG 2.2 - 3.3.2 Labels or Instructions (A)"
"Android App Checkout - Error banner not announced on validation failure","Steps to recreate: 1) Submit checkout with an invalid ZIP code. Actual: A red error banner appears at the top of the screen but TalkBack focus does not move there and it is not announced. Expected: Error should be announced immediately, and focus should move to it or the first invalid field.","WCAG 2.2 - 3.3.1 Error Identification (A)"
"Android App Checkout - Payment method radio group missing label","Steps to recreate: 1) Enable TalkBack. 2) Swipe through the payment method options (Credit Card, PayPal, Acme Pay). Actual: Each option is announced individually with no group heading indicating ""Choose payment method"". Expected: Radio group should have an accessible group label/heading.","WCAG 2.2 - 1.3.1 Info and Relationships (A)"
"Android App Checkout - Order total breakdown read in reversed order","Steps to recreate: 1) Enable TalkBack. 2) Swipe through the order summary. Actual: Reading order is Total, Tax, Subtotal, Shipping, which is reversed from the visual top-to-bottom order, confusing users. Expected: Reading order should match the visual/logical order.","WCAG 2.2 - 1.3.2 Meaningful Sequence (A)"
"Android App Account - Sign in with Google button loses label on small screens","Steps to recreate: 1) Enable TalkBack. 2) Navigate to the social sign-in buttons on a small-width device. Actual: Button collapses to icon-only and loses its accessible label. Expected: Accessible name should be retained regardless of visual layout changes.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App Account - Biometric login toggle doesn't indicate current state","Steps to recreate: 1) Enable TalkBack. 2) Navigate to the ""Use fingerprint to log in"" switch. Actual: TalkBack announces the control but not whether it is currently on or off. Expected: Switch should announce its checked state.","WCAG 2.2 - 4.1.2 Name, Role, Value (A)"
"Android App Account - Address form missing autofill hints","Steps to recreate: 1) Inspect the address form fields in code or with an autofill service active. Actual: Fields lack android:autofillHints attributes (e.g., postalAddress, postalCode). Expected: Appropriate autofill hints should be set to support autofill services and identify input purpose.","WCAG 2.2 - 1.3.5 Identify Input Purpose (AA)"
"Android App Navigation - Custom back gesture conflicts with system back, no alternative","Steps to recreate: 1) Enable TalkBack. 2) Attempt to navigate back from the Filter screen using the system back gesture. Actual: Custom in-app gesture intercepts and does not close the screen as expected; no visible back button alternative exists. Expected: A standard, discoverable back control should always be available alongside gesture navigation.","WCAG 2.2 - 2.1.1 Keyboard (A)"
"Android App Navigation - Bottom sheet filter modal doesn't receive initial TalkBack focus","Steps to recreate: 1) Open the ""Sort & Filter"" bottom sheet. Actual: TalkBack focus stays on the underlying product list; the sheet's presence is not announced. Expected: Focus should move to the bottom sheet heading when it appears.","WCAG 2.2 - 2.4.3 Focus Order (A)"
"Android App Notifications - Order status notification and controls have vague labels","Steps to recreate: 1) Trigger an order status update notification. Actual: Notification reads only ""Update available"" with no specifics, and its expand/collapse control also lacks a label for TalkBack users. Expected: Notification content and controls should have clear, descriptive labels.","WCAG 2.2 - 2.4.6 Headings and Labels (AA)"
"Android App Settings - Large text/display size causes overlapping UI in Account screen","Steps to recreate: 1) Enable Android's largest font size and display size settings. 2) Open the Account screen. Actual: Menu item labels overlap their icons and adjacent text. Expected: Layout should adapt without overlapping content at large text/display sizes.","WCAG 2.2 - 1.4.4 Resize Text (AA)"
"Android App Global - Loading progress bar has no accessible label or state","Steps to recreate: 1) Enable TalkBack. 2) Trigger a page load (e.g., applying filters). Actual: Progress bar is visually shown but is not announced or exposed with an accessible progress role. Expected: Loading state should be announced to TalkBack users.","WCAG 2.2 - 4.1.3 Status Messages (AA)"
